			Passengers List:-
 Passenger No : 1 , Type : 'Asile' , Compartment No:1 , Row No : 1 , Seat No : 3
 Passenger No : 2 , Type : 'Asile' , Compartment No:2 , Row No : 1 , Seat No : 1
 Passenger No : 3 , Type : 'Asile' , Compartment No:2 , Row No : 1 , Seat No : 4
 Passenger No : 4 , Type : 'Asile' , Compartment No:3 , Row No : 1 , Seat No : 1
 Passenger No : 5 , Type : 'Asile' , Compartment No:3 , Row No : 1 , Seat No : 2
 Passenger No : 6 , Type : 'Asile' , Compartment No:4 , Row No : 1 , Seat No : 1
 Passenger No : 7 , Type : 'Asile' , Compartment No:1 , Row No : 2 , Seat No : 3
 Passenger No : 8 , Type : 'Asile' , Compartment No:2 , Row No : 2 , Seat No : 1
 Passenger No : 9 , Type : 'Asile' , Compartment No:2 , Row No : 2 , Seat No : 4
 Passenger No : 10 , Type : 'Asile' , Compartment No:3 , Row No : 2 , Seat No : 1
 Passenger No : 11 , Type : 'Asile' , Compartment No:3 , Row No : 2 , Seat No : 2
 Passenger No : 12 , Type : 'Asile' , Compartment No:4 , Row No : 2 , Seat No : 1
 Passenger No : 13 , Type : 'Asile' , Compartment No:2 , Row No : 3 , Seat No : 1
 Passenger No : 14 , Type : 'Asile' , Compartment No:2 , Row No : 3 , Seat No : 4
 Passenger No : 15 , Type : 'Asile' , Compartment No:3 , Row No : 3 , Seat No : 1
 Passenger No : 16 , Type : 'Asile' , Compartment No:3 , Row No : 3 , Seat No : 2
 Passenger No : 17 , Type : 'Asile' , Compartment No:4 , Row No : 3 , Seat No : 1
 Passenger No : 18 , Type : 'Asile' , Compartment No:4 , Row No : 4 , Seat No : 1
 Passenger No : 19 , Type : 'Window' , Compartment No:1 , Row No : 1 , Seat No : 1
 Passenger No : 20 , Type : 'Window' , Compartment No:4 , Row No : 1 , Seat No : 3
 Passenger No : 21 , Type : 'Window' , Compartment No:1 , Row No : 2 , Seat No : 1
 Passenger No : 22 , Type : 'Window' , Compartment No:4 , Row No : 2 , Seat No : 3
 Passenger No : 23 , Type : 'Window' , Compartment No:4 , Row No : 3 , Seat No : 3
 Passenger No : 24 , Type : 'Window' , Compartment No:4 , Row No : 4 , Seat No : 3
 Passenger No : 25 , Type : 'Middle' , Compartment No:1 , Row No : 1 , Seat No : 2
 Passenger No : 26 , Type : 'Middle' , Compartment No:2 , Row No : 1 , Seat No : 2
 Passenger No : 27 , Type : 'Middle' , Compartment No:2 , Row No : 1 , Seat No : 3
 Passenger No : 28 , Type : 'Middle' , Compartment No:4 , Row No : 1 , Seat No : 2
 Passenger No : 29 , Type : 'Middle' , Compartment No:1 , Row No : 2 , Seat No : 2
 Passenger No : 30 , Type : 'Middle' , Compartment No:2 , Row No : 2 , Seat No : 2
